vehicle_id,report_date,shift,vehicle_model,department_unit,stay_h,engine_h,idle_h,fuel_l,rate_fact,norm,load_pct,util_pct
0456ОК72,2026-02-08,Вечер,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,11.99,9.62,2.37,32.0,3.33,5.6,87.5,80.2
0456ОК72,2026-02-08,День,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,11.99,7.88,4.12,34.8,4.42,5.6,71.7,65.7
0456ОК72,2026-02-09,Вечер,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,11.99,10.47,1.52,34.9,3.33,5.6,95.3,87.3
0456ОК72,2026-02-09,День,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,12.00,8.57,3.43,30.0,3.50,5.6,77.9,71.5
0456ОК72,2026-02-10,Вечер,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,12.00,10.69,1.30,40.9,3.83,5.6,97.3,89.1
0456ОК72,2026-02-10,День,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,12.00,8.38,3.62,26.3,3.14,5.6,76.2,69.8
0456ОК72,2026-02-11,Вечер,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,12.00,10.46,1.54,45.7,4.37,5.6,95.1,87.2
0456ОК72,2026-02-11,День,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,12.00,10.06,1.94,48.2,4.79,5.6,91.4,83.8
0504ОК72,2026-02-04,Вечер,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,11.99,11.61,0.38,116.5,10.04,16.4,100.0,96.8
0504ОК72,2026-02-04,День,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,11.97,10.94,1.03,158.1,14.45,16.4,99.7,91.4
0504ОК72,2026-02-05,Вечер,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,11.99,11.72,0.27,129.1,11.02,16.4,100.0,97.7
0504ОК72,2026-02-05,День,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,11.92,10.76,1.16,122.1,11.35,16.4,98.5,90.3
0504ОК72,2026-02-06,Вечер,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,11.98,11.71,0.27,143.3,12.24,16.4,100.0,97.7
0504ОК72,2026-02-06,День,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,12.00,11.39,0.60,141.5,12.42,16.4,100.0,95.0
0504ОК72,2026-02-07,Вечер,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,11.99,11.70,0.30,116.2,9.93,16.4,100.0,97.5
0504ОК72,2026-02-07,День,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,11.99,10.84,1.16,197.7,18.24,16.4,98.6,90.3
0504ОК72,2026-02-08,Вечер,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,11.98,11.84,0.15,94.0,7.94,16.4,100.0,98.8
0504ОК72,2026-02-08,День,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,11.98,11.49,0.49,163.5,14.23,16.4,100.0,95.9
0504ОК72,2026-02-09,Вечер,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,12.00,11.92,0.08,140.2,11.76,16.4,100.0,99.4
0504ОК72,2026-02-09,День,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,11.97,11.41,0.56,175.0,15.33,16.4,100.0,95.3
0504ОК72,2026-02-10,Вечер,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,11.97,11.81,0.16,165.5,14.02,16.4,100.0,98.7
0504ОК72,2026-02-10,День,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,11.98,9.09,2.89,119.4,13.14,16.4,82.8,75.9
0504ОК72,2026-02-11,Вечер,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,11.99,11.77,0.22,156.8,13.32,16.4,100.0,98.2
0504ОК72,2026-02-11,День,Экскаватор гусеничный SUNWARD SWE265F,СМУ ВСЖМ,11.99,11.30,0.69,165.1,14.61,16.4,100.0,94.3
0538ОЕ72,2026-02-04,Вечер,Погрузчик Doosan DISD SD200,СМУ ВСЖМ,11.96,0.96,11.00,2.2,2.29,6.5,8.8,8.0
0538ОЕ72,2026-02-04,День,Погрузчик Doosan DISD SD200,СМУ ВСЖМ,11.84,2.99,8.85,10.0,3.35,6.5,27.6,25.3
0538ОЕ72,2026-02-05,Вечер,Погрузчик Doosan DISD SD200,СМУ ВСЖМ,0.46,0.46,0.00,1.1,2.37,6.5,100.0,100.0
0538ОЕ72,2026-02-05,День,Погрузчик Doosan DISD SD200,СМУ ВСЖМ,11.92,3.45,8.47,11.3,3.27,6.5,31.6,29.0
0538ОЕ72,2026-02-06,Вечер,Погрузчик Doosan DISD SD200,СМУ ВСЖМ,11.95,1.21,10.75,19.2,15.93,6.5,11.0,10.1
0538ОЕ72,2026-02-06,День,Погрузчик Doosan DISD SD200,СМУ ВСЖМ,11.49,5.93,5.55,27.6,4.65,6.5,56.3,51.7
0538ОЕ72,2026-02-07,Вечер,Погрузчик Doosan DISD SD200,СМУ ВСЖМ,11.99,1.74,10.25,0.2,0.12,6.5,15.8,14.5
0538ОЕ72,2026-02-07,День,Погрузчик Doosan DISD SD200,СМУ ВСЖМ,11.99,6.89,5.11,42.6,6.19,6.5,62.6,57.4
0538ОЕ72,2026-02-08,Вечер,Погрузчик Doosan DISD SD200,СМУ ВСЖМ,11.98,0.00,11.98,-0.4,0.00,6.5,0.0,0.0
0538ОЕ72,2026-02-08,День,Погрузчик Doosan DISD SD200,СМУ ВСЖМ,11.96,3.58,8.37,17.4,4.86,6.5,32.7,30.0
0538ОЕ72,2026-02-09,Вечер,Погрузчик Doosan DISD SD200,СМУ ВСЖМ,11.96,1.95,10.01,8.0,4.10,6.5,17.8,16.3
0538ОЕ72,2026-02-09,День,Погрузчик Doosan DISD SD200,СМУ ВСЖМ,11.95,3.31,8.64,10.6,3.20,6.5,30.2,27.7
0538ОЕ72,2026-02-10,Вечер,Погрузчик Doosan DISD SD200,СМУ ВСЖМ,0.46,0.46,0.00,5.3,11.58,6.5,100.0,100.0
0538ОЕ72,2026-02-10,День,Погрузчик Doosan DISD SD200,СМУ ВСЖМ,11.95,7.87,4.09,32.6,4.14,6.5,71.8,65.8
0770ОЕ72,2026-02-04,Вечер,Погрузчик фронтальный XCMG ZL30GV,СМУ г. Тобольск,0.50,0.18,0.32,-0.6,-3.40,9.5,38.6,35.4
0770ОЕ72,2026-02-04,День,Погрузчик фронтальный XCMG ZL30GV,СМУ г. Тобольск,11.50,11.44,0.06,36.2,3.16,9.5,100.0,99.5
0770ОЕ72,2026-02-05,Вечер,Погрузчик фронтальный XCMG ZL30GV,СМУ г. Тобольск,0.42,0.00,0.42,0.0,0.00,9.5,0.0,0.0
0770ОЕ72,2026-02-05,День,Погрузчик фронтальный XCMG ZL30GV,СМУ г. Тобольск,11.50,8.09,3.41,49.0,6.06,9.5,76.7,70.3
0770ОЕ72,2026-02-06,Вечер,Погрузчик фронтальный XCMG ZL30GV,СМУ г. Тобольск,0.49,0.00,0.49,0.0,0.00,9.5,0.0,0.0
0770ОЕ72,2026-02-06,День,Погрузчик фронтальный XCMG ZL30GV,СМУ г. Тобольск,11.49,9.35,2.14,41.8,4.47,9.5,88.8,81.4
0770ОЕ72,2026-02-07,Вечер,Погрузчик фронтальный XCMG ZL30GV,СМУ г. Тобольск,0.47,0.00,0.47,0.0,0.00,9.5,0.0,0.0
0770ОЕ72,2026-02-07,День,Погрузчик фронтальный XCMG ZL30GV,СМУ г. Тобольск,11.47,11.30,0.17,25.1,2.22,9.5,100.0,98.5
0770ОЕ72,2026-02-08,Вечер,Погрузчик фронтальный XCMG ZL30GV,СМУ г. Тобольск,0.49,0.00,0.49,0.0,0.00,9.5,0.0,0.0
0770ОЕ72,2026-02-08,День,Погрузчик фронтальный XCMG ZL30GV,СМУ г. Тобольск,11.50,11.12,0.38,35.8,3.22,9.5,100.0,96.7
