Тип ТС,Гос. №,Филиал,"Норма расхода, л/час"
"Краны автомобильные, г/п 150",Р038ХА186,БСМ,17.6
"Краны автомобильные, г/п 80",Р013ТО186,БСМ,7
"Краны автомобильные, г/п 25",Р882ОУ186,БСМ,8.8
"Краны автомобильные, г/п 25",Е841ОВ797,БСМ,8.8
"Краны автомобильные, г/п 70",8915АР28,БСМ,8.8
"Краны автомобильные, г/п 100",К235ВТ27,БСМ,8.8
"Краны автомобильные, г/п 32",В167НА797,БСМ,8.8
"Краны автомобильные, г/п 25",Х774МТ72,МО36,8.8
"Краны автомобильные, г/п 25",К805НУ797,БСМ,8.8
"Краны автомобильные, г/п 25",К607ВХ797,БСМ,8.8
"Краны гусеничные, г/п 100",9273ое72,МО36,8
"Краны гусеничные, г/п 70",9805тв86,МО29,4
"Краны гусеничные, г/п 100",9272ое72,МО36,8.8
"Краны автомобильные, г/п 40",у791ка750,МО36,9
"Краны автомобильные, г/п 25",А564НА797,МО15,8.8
"Краны гусеничные, г/п 280",2323то72,МО36,13.5
"Краны гусеничные, г/п 180",4352ов72,СКТ,10
"Краны гусеничные, г/п 100",1668оа72,МО36,8.5
"Краны гусеничные, г/п 70",3431тк72,МО36,4
"Краны пневмоколёсные, г/п 50",5518ое72,МО36,10
"Краны автомобильные, г/п 25",с061хх72,СКТ,8.8
"Краны гусеничные, г/п 200",0199ое72,МО36,10
"Краны гусеничные, г/п 100",1669оа72,СКТ,8.5
"Краны гусеничные, г/п 180",2013ое72,МО36,7.5
"Краны гусеничные, г/п 70",4451уе86,МО29,4
"Краны автомобильные, г/п 40",К633ХО186,МО29,9
"Краны автомобильные, г/п 25",с092хх72,СКТ,8.8
"Краны автомобильные, г/п 90",м532кр72,МО36,13.4
"Краны гусеничные, г/п 63",5055ум86,МО29,10.1
"Краны автомобильные, г/п 40",к644нх186,МО29,9
"Краны автомобильные, г/п 25",Е941СР186,МО29,8.8
"Краны автомобильные, г/п 25",Х702МУ72,МО87,8.8
"Краны автомобильные, г/п 25",Е557РМ186,МО29,8.8
"Краны гусеничные, г/п 40",2241хо86,МО29,8.3
"Краны гусеничные, г/п 100",0946то72,МО36,10.1
"Краны гусеничные, г/п 40",7296ов72,МО87,8.3
"Краны гусеничные, г/п 40",0024оа72,МО87,8.3
"Краны автомобильные, г/п 40",о942хе72,МО87,9
"Краны автомобильные, г/п 25",х614му72,МО87,8.8
"Краны автомобильные, г/п 25",о964нв72,МО87,7.6
"Краны гусеничные, г/п 70",3625тх72,МО87,4
"Краны гусеничные, г/п 63",2517тв72,МО87,10.1
"Краны гусеничные, г/п 63",0025оа72,МО87,10.1
"Краны автомобильные, г/п 25",о487се89,МО87,7.6
"Краны пневмоколёсные, г/п 45",1862ое72,МО36,10
"Краны пневмоколёсные, г/п 45",1935ое72,МО36,10
"Краны автомобильные, г/п 40",р864км72,МО36,9
"Краны гусеничные, г/п 250",6460ов72,МО36,8.8
"Краны гусеничные, г/п 125",2202ое72,МО36,7.5
"Краны гусеничные, г/п 100",8099оа72,МО36,10
"Краны гусеничные, г/п 70",7984тк72,МО87,4
"Краны автомобильные, г/п 40",р163ке72,МО36,9
"Краны автомобильные, г/п 40",р182ес72,МО87,9
"Краны автомобильные, г/п 25",у063ск72,МО36,8.8
"Краны автомобильные, г/п 95",Х113УО86,МО36,13
"Краны автомобильные, г/п 65",к957уе72,МО36,20
"Краны автомобильные, г/п 40",к604ан186,МО36,9
"Краны автомобильные, г/п 25",Х009ХН86,МО36,7.6
"Краны автомобильные, г/п 25",х118ео72,МО36,17.6
"Краны гусеничные, г/п 63",2314ОЕ72,МО36,10.1
"Краны пневмоколёсные, г/п 60",1796тк72,МО36,9
"Краны пневмоколёсные, г/п 45",8029оа72,МО36,11.2
"Краны автомобильные, г/п 40",о430нх72,МО36,9
"Краны автомобильные, г/п 40",о945сс152,МО36,9
"Краны автомобильные, г/п 25",Х683МТ72,МО36,8.8
"Краны автомобильные, г/п 25",у876хн72,МО36,8.8
"Краны гусеничные, г/п 32",1766ов72,МО36,7.8
"Краны пневмоколёсные, г/п 50",5517ое72,МО36,10
"Краны автомобильные, г/п 40",р069ес72,МО36,9
"Краны гусеничные, г/п 100",0945то72,МО36,10.1
"Краны гусеничные, г/п 100",4108тв86,МО29,8.5
"Краны гусеничные, г/п 100",3428та72,МО87,8.5
"Краны гусеничные, г/п 70",3726хе50,МО15,4
"Краны автомобильные, г/п 25",Х403МА72,МО36,8.8
"Краны гусеничные, г/п 70",1105ум86,МО36,4
"Краны гусеничные, г/п 70",7985тк72,МО36,4
"Краны гусеничные, г/п 70",3123ОА72,МО36,4
"Краны автомобильные, г/п 40",к793аа186,МО36,9
"Краны автомобильные, г/п 40",а137хе89,МО36,9
"Краны автомобильные, г/п 25",Х611МТ72,МО36,8.8
"Краны автомобильные, г/п 25",Х217МР72,МО36,8.8
"Краны гусеничные, г/п 160",8264ов72,МО36,10
"Краны автомобильные, г/п 160",к170ут72,МО36,14.1
"Краны гусеничные, г/п 100",7062ов72,МО36,10
"Краны автомобильные, г/п 100",а701ах172,СКТ,9.5
"Краны гусеничные, г/п 80",3018ов72,СКТ,6.5
"Краны гусеничные, г/п 70",3727хе50,МО15,4
"Краны автомобильные, г/п 40",у388ту750,МО15,9
"Краны автомобильные, г/п 40",о217ос72,МО36,9
"Краны автомобильные, г/п 40",у272ту750,МО15,9
"Краны автомобильные, г/п 40",о943хе72,МО36,9
"Краны автомобильные, г/п 25",у945хе72,МО36,8.8
"Краны автомобильные, г/п 25",К128МО797,МО15,8.8
"Краны автомобильные, г/п 25",Н921МС797,МО15,8.8
"Краны автомобильные, г/п 25",В153НЕ797,МО15,8.8
"Краны пневмоколёсные, г/п 60",3725хе50,МО15,9
